,country,average,std_deviation
35,China,1052477588.5066667,290557962.2752598
78,India,848877032.1866666,351325057.4910951
189,United States,249833244.96,56886305.419806406
79,Indonesia,173229817.29333332,67785393.27066265
23,Brazil,137931263.09333333,51136250.26979213
146,Russia,136606631.6,12856963.964658193
134,Pakistan,120214606.28,68338195.26764415
86,Japan,115768056.37333333,13250980.809259936
129,Nigeria,105362994.25333333,58492475.94400437
13,Bangladesh,105206981.8,42508326.06697145
65,Germany,78665631.05333333,4105347.454996434
113,Mexico,78155748.05333333,32653497.629779115
141,Philippines,62584501.8,30360910.877397187
195,Vietnam,61825771.46666667,23852113.557668008
52,Egypt,59011614.85333333,28891131.27224756
188,United Kingdom,58106325.586666666,4965464.315606553
61,France,55650207.29333334,7195727.405730457
84,Italy,55549442.653333336,4126357.8472744804
58,Ethiopia,55153895.42666667,33841357.209442064
182,Turkey,53173718.88,20343769.96042507
80,Iran,51430687.53333333,24312471.58076311
177,Thailand,49928032.96,17178053.961740028
186,Ukraine,46677975.24,4131973.8664978524
45,Democratic Republic of Congo,42267113.61333334,27488665.81115704
165,South Korea,39560281.25333333,10042149.700019231
167,Spain,38582526.68,6282740.961136649
121,Myanmar,36909005.49333333,11664834.55968522
164,South Africa,36486152.54666667,15967211.14360029
142,Poland,35006334.44,4146941.2458319636
6,Argentina,31472254.72,9052188.039405547
36,Colombia,31122162.426666666,12594659.062107176
176,Tanzania,28062529.906666666,17358617.1058562
30,Canada,26770584.746666666,7301401.7966682045
2,Algeria,24438673.413333334,11580235.134665517
89,Kenya,24436470.613333333,15570014.986651327
119,Morocco,22853125.14666667,9050720.198004832
169,Sudan,22678631.026666667,12919163.097556528
140,Peru,20558044.01333333,8274548.937022595
145,Romania,20439780.093333334,1845137.9258655903
185,Uganda,20103809.093333334,12504551.729557171
81,Iraq,19692390.733333334,11996696.66788292
130,North Korea,19390113.48,5457555.085701042
191,Uzbekistan,19309475.253333334,8984156.36113191
124,Nepal,18905095.946666665,7218068.38367669
194,Venezuela,18535821.01333333,8325191.364856918
174,Taiwan,18250811.24,5132765.873806175
106,Malaysia,18171335.933333334,9289994.879379692
0,Afghanistan,18109632.72,10261824.906515934
8,Australia,16675827.6,5336842.31156202
66,Ghana,16226788.613333333,8699232.500193253
196,Yemen,15933776.386666667,10598001.303974845
168,Sri Lanka,15872743.32,4736148.132705006
120,Mozambique,15134667.173333334,8174637.668603641
125,Netherlands,14535565.093333334,2280475.254396045
88,Kazakhstan,14531563.013333334,3635558.7414415535
4,Angola,13988281.466666667,9681116.315729111
104,Madagascar,13520140.493333334,8259616.473733872
40,Cote d'Ivoire,13173814.026666667,8854358.768235756
34,Chile,13016075.36,3981528.87777755
154,Saudi Arabia,12737390.706666667,10539682.403864527
29,Cameroon,12461977.226666667,7210418.451658972
173,Syria,12391025.093333334,6657587.489376685
108,Mali,10574343.64,5534512.435375832
26,Burkina Faso,10327018.04,5739578.542144438
76,Hungary,10132250.773333333,329805.2708055522
51,Ecuador,10100530.306666667,4587558.257686739
44,Czechia,10088734.986666666,442899.17078676936
16,Belgium,10059071.173333334,830563.4623930192
128,Niger,9979077.186666667,6862962.713648642
67,Greece,9745755.906666666,1099424.8317396888
42,Cuba,9715524.573333334,1698163.818652133
143,Portugal,9694412.32,722596.1502098987
28,Cambodia,9376039.026666667,4380246.355859411
105,Malawi,9376029.146666666,5477010.4364684075
69,Guatemala,9317203.853333334,4711391.724961772
15,Belarus,9241449.146666666,829489.8538931101
198,Zimbabwe,9056600.133333333,4270817.989323924
197,Zambia,8608188.706666667,5390310.015149083
171,Sweden,8576976.96,933114.005941591
155,Senegal,8200399.413333333,4575864.973361235
25,Bulgaria,8005796.76,671652.5520927054
9,Austria,7806084.093333334,615781.5198934618
181,Tunisia,7771474.96,2839546.6075982614
163,Somalia,7613942.826666667,4640455.188689552
33,Chad,7497828.786666667,4915245.471208403
156,Serbia,7292139.986666666,524630.6450079387
20,Bolivia,7058746.733333333,2877734.2082912903
70,Guinea,7014408.666666667,3388657.207226777
73,Haiti,6879563.52,2638123.0200970042
147,Rwanda,6862074.733333333,3453643.447717823
10,Azerbaijan,6859551.413333333,2215507.3377386467
49,Dominican Republic,6773182.36,2825838.886988226
172,Switzerland,6735757.0,1125546.6591845674
